rule_id	metric	condition	severity	claim_constraint	action	authority	scope	source
ASM_BUSCO_001	BUSCO	missing lineage OR mode OR db_version OR n_busco	WARN	Do not summarize BUSCO percentages without lineage+mode+db identity	report lineage+mode+db_version with every BUSCO number	official_doc	general_genomics	busco.ezlab.org/busco_userguide v6.1
ASM_BUSCO_002	BUSCO	lineage differs between assemblies under comparison	BLOCK	Do not compare BUSCO percentages directly across lineages	rerun same lineage OR report each separately with lineage label	official_doc	general_genomics	busco.ezlab.org/busco_userguide v6.1
ASM_BUSCO_003	BUSCO	high C with high D in haplotype-resolved assembly (D>20%)	NOTE	Phased haplotype duplication is not automatically a defect	check ploidy/subgenome context before calling it over-duplication	method_paper	polyploid_genome	hifiasm primary docs / quinoa V2 hap1 D=96.4 baseline
ASM_QV_001	Merqury_QV	missing k OR read_db_type OR coverage	WARN	Do not state QV without read database provenance	report k+read_db_type+coverage	method_paper	general_genomics	Rhie et al. 2020 / merqury README
ASM_QV_002	Merqury_QV	read_db_type differs between assemblies under comparison	BLOCK	Do not rank QV across protocols (illumina_pcrfree vs hifi vs hybrid)	harmonize read_db OR report each separately	method_paper	general_genomics	Rhie et al. 2020 merqury
ASM_QV_003	Merqury_QV	read_db built from same reads used to assemble (HiFi-on-HiFi)	WARN	QV is not independent of the assembly under this protocol	prefer orthogonal short-read truth set; caveat if reusing	method_paper	general_genomics	Rhie et al. 2020 merqury
ASM_LAI_001	LAI	total_LTR_RT_pct<5 OR intact_LTR_RT_pct<0.1	BLOCK	Do not use LAI grade as quality claim when LTR content below applicability	mark LAI not_applicable OR weak	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_LAI_002	LAI	LAI used as cross-organism quality grade	WARN	LAI grades (draft/reference/gold) are not directly portable across taxa	prefer within-organism / within-method comparison	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_REPEAT_001	BUSCO_vs_LAI	BUSCO_C>=98 AND LAI<10	WARN	Gene-space complete does not imply repeat-space complete	phrase as "gene-space complete; repeat-space draft/reference boundary"	method_paper	plant_genome	Ou et al. 2018 LAI / orthogonality argument
ASM_N50_001	N50	contig_N50 vs scaffold_N50 mixed across assemblies	BLOCK	Do not compare continuity numbers without labeling contig vs scaffold	label each value contig_N50 / scaffold_N50	official_doc	general_genomics	QUAST docs
ASM_N50_002	N50	scaffold_N50 reported after Hi-C without misjoin validation	WARN	Scaffolding can inflate N50 via false joins	require contact-map heatmap review OR pre/post comparison	project_history	general_genomics	playbook-chromosome-scaffolding-cphasing
KMERIA_001	KMERIA_assoc	pilot_only OR full_count_incomplete	BLOCK	Do not make population association claim from pilot or partial count	mark as exploratory until full count + matrix + asso completes	project_history	quinoa_project	HANDOFF kmer-GWAS jobs 845807/846422
KMERIA_002	KMERIA_kmer_hit	hit overlaps SD region OR centromere mask	WARN	Causal phrasing not supported when hit lies in SD or centromere	require unique mappability evidence OR exclude region	project_history	general_genomics	playbook-segmental-duplications / playbook-centromere-chipseq
SV_001	SV_callers	high-confidence claim with single-caller support only	BLOCK	Do not call SV high-confidence without orthogonal caller support	require >=2 caller intersection (read+assembly axes)	project_history	general_genomics	playbook-high-confidence-sv-multicaller
