rule_id	metric	condition	severity	claim_constraint	action	authority	scope	source
CLAIM_SCHEMA_001	Claim	v2 claim missing identity/type/metric/subjects/protocol/evidence/status/caveats; or legacy manifest	BLOCK/WARN	A formal PASS requires an explicit complete result_manifest.v2 claim	complete v2 claim fields; never silently migrate v1	bioflow_contract	general_genomics	references/result-manifest-schema.md
CLAIM_EVIDENCE_001	Claim_evidence	supported claim evidence path missing or unreadable	BLOCK	Do not support a claim without readable explicitly cited evidence	fix evidence path relative to manifest or change claim status	bioflow_contract	general_genomics	references/result-manifest-schema.md
CLAIM_STATUS_001	Claim_status	declared status conflicts with checker gate	BLOCK/WARN/UNCERTAIN	Do not label a blocked, uncertain, or incompletely proven claim supported	align status and caveats with gate result	bioflow_contract	general_genomics	references/result-interpretation.md
ASM_OVERVIEW_001	Assembly_overview	one or more subjects lack contiguity/BUSCO/QV/LAI/mapping/telomere evidence	BLOCK/WARN	Do not make whole-assembly quality claims from a subset of evidence axes	provide all six axes for every subject	bioflow_contract	general_genomics	references/playbook-genome-quality-evaluation.md
ASM_BUSCO_001	BUSCO	selected claim record missing lineage/mode/db_version/busco_version/n_busco or result fields	WARN	Do not summarize BUSCO percentages without complete lineage and software provenance	report lineage+mode+db_version+busco_version+n_busco with every BUSCO number	official_doc	general_genomics	busco.ezlab.org/busco_userguide v6.1
ASM_BUSCO_002	BUSCO	comparison subjects do not share claim-selected lineage and mode	BLOCK	Do not compare BUSCO percentages directly across lineages or modes	rerun same lineage/mode or report each separately	official_doc	general_genomics	busco.ezlab.org/busco_userguide v6.1
ASM_BUSCO_003	BUSCO	high D in haplotype-resolved polyploid assembly	NOTE	Duplicated BUSCO is not automatically a defect	check ploidy/subgenome context before calling over-duplication	method_paper	polyploid_genome	hifiasm primary docs / quinoa V2 context
ASM_QV_001	Merqury_QV	selected record missing k/read_db_type/coverage/independence/QV	WARN	Do not state publication QV without truth-set provenance	report k+read_db_type+coverage+independence+QV	method_paper	general_genomics	Rhie et al. 2020 / merqury README
ASM_QV_002	Merqury_QV	comparison subjects differ in k or read_db_type from claim protocol	BLOCK	Do not rank QV across different k or truth-set types	harmonize k and read database type or report separately	method_paper	general_genomics	Rhie et al. 2020 / merqury README
ASM_QV_003	Merqury_QV	read database is not independent of assembly input	WARN	QV is not an independent validation under this protocol	prefer orthogonal PCR-free short reads and carry a non-independence caveat	method_paper	general_genomics	Rhie et al. 2020 / merqury README
ASM_LAI_001	LAI	total_LTR_RT_pct<5 or intact_LTR_RT_pct<0.1; or selected LAI evidence absent	BLOCK	Do not use an inapplicable or absent LAI grade as quality evidence	mark LAI not_applicable or provide validated evidence	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_LAI_002	LAI	LAI used as cross-organism quality grade	WARN	LAI grade labels are not directly portable across taxa	prefer within-organism and same-method comparison	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_REPEAT_001	BUSCO_vs_LAI	BUSCO_C>=98 and LAI<10	WARN	Gene-space completeness does not imply repeat-space completeness	report the two evidence axes separately	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_N50_001	N50	claim mixes contig_N50 and scaffold_N50 or a subject lacks selected type	BLOCK	Do not compare continuity values of different types	select protocol.n50_type and require it for every subject	official_doc	general_genomics	QUAST docs
ASM_N50_002	N50	scaffold_N50 lacks misjoin validation	WARN	Scaffolding can inflate N50 through false joins	require contact/read structural validation	project_history	general_genomics	playbook-chromosome-scaffolding-cphasing
KMERIA_001	KMERIA_assoc	pilot_only or full_count_incomplete	BLOCK	Do not make population association claims from pilot/partial counts	mark exploratory until full route completes	project_history	quinoa_project	HANDOFF k-mer GWAS records
KMERIA_002	KMERIA_kmer_hit	hit overlaps SD or centromere	WARN	Causal phrasing is unsupported without unique mappability evidence	require unique mappability evidence or exclude region	project_history	general_genomics	playbook-segmental-duplications / playbook-centromere-chipseq
SV_001	SV_callers	high-confidence claim lacks read and assembly evidence axes	BLOCK	Do not call SV high-confidence without orthogonal read+assembly support	provide at least one caller/evidence source on each axis	project_history	general_genomics	playbook-high-confidence-sv-multicaller
